District,Total Crimes,ABANDONED BUILDING,AIRCRAFT,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,AIRPORT EXTERIOR - NON-SECURE AREA,AIRPORT EXTERIOR - SECURE AREA,AIRPORT PARKING LOT,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,AIRPORT TRANSPORTATION SYSTEM (ATS),AIRPORT VENDING ESTABLISHMENT,ALLEY,ANIMAL HOSPITAL,APARTMENT,APPLIANCE STORE,ATHLETIC CLUB,ATM (AUTOMATIC TELLER MACHINE),AUTO,AUTO / BOAT / RV DEALERSHIP,BANK,BARBERSHOP,BARBER SHOP/BEAUTY SALON,BAR OR TAVERN,BASEMENT,BOAT / WATERCRAFT,BOWLING ALLEY,BRIDGE,CAR WASH,CASINO/GAMBLING ESTABLISHMENT,CEMETARY,CHA APARTMENT,CHA GROUNDS,CHA HALLWAY,CHA HALLWAY / STAIRWELL / ELEVATOR,CHA PARKING LOT / GROUNDS,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,CLEANING STORE,COIN OPERATED MACHINE,COLLEGE / UNIVERSITY - GROUNDS,COLLEGE / UNIVERSITY - RESIDENCE HALL,COMMERCIAL / BUSINESS OFFICE,CONSTRUCTION SITE,CONVENIENCE STORE,CREDIT UNION,CTA BUS,CTA BUS STOP,"CTA ""L"" TRAIN",CTA PARKING LOT / GARAGE / OTHER PROPERTY,CTA PLATFORM,CTA PROPERTY,CTA STATION,CTA TRACKS - RIGHT OF WAY,CTA TRAIN,CURRENCY EXCHANGE,DAY CARE CENTER,DEPARTMENT STORE,DRIVEWAY,DRIVEWAY - RESIDENTIAL,DRUG STORE,FACTORY / MANUFACTURING BUILDING,FARM,FEDERAL BUILDING,FIRE STATION,FOREST PRESERVE,GANGWAY,GARAGE,GAS STATION,GOVERNMENT BUILDING / PROPERTY,GROCERY FOOD STORE,HALLWAY,HIGHWAY / EXPRESSWAY,HOSPITAL,HOSPITAL BUILDING / GROUNDS,HOTEL / MOTEL,HOUSE,JAIL / LOCK-UP FACILITY,KENNEL,LAKEFRONT / WATERFRONT / RIVERBANK,LIBRARY,LIQUOR STORE,MEDICAL / DENTAL OFFICE,MOVIE HOUSE / THEATER,NEWSSTAND,NURSING / RETIREMENT HOME,OFFICE,OTHER COMMERCIAL TRANSPORTATION,OTHER RAILROAD PROPERTY / TRAIN DEPOT,OTHER (SPECIFY),PARKING LOT,PARKING LOT / GARAGE (NON RESIDENTIAL),PARK PROPERTY,PAWN SHOP,POLICE FACILITY / VEHICLE PARKING LOT,POOL ROOM,PORCH,RAILROAD PROPERTY,RESIDENCE
1,14797,5,0,0,1,0,0,1,0,0,0,0,0,0,0,91,1,1315,8,32,9,0,16,80,8,0,62,0,11,0,5,1,0,0,56,1,1,28,48,22,5,1,16,9,571,8,204,1,65,28,1,16,305,0,158,1,427,9,8,1315,0,7,100,1,0,21,4,1,0,0,66,117,158,0,4,0,54,394,0,2,1,29,87,0,19,20,1,10,0,25,38,383,1,1293,307,1,44,1,0,0,273
2,13085,2,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,3804,4,12,8,1,1,34,5,0,21,0,5,0,2,1,0,0,44,0,0,20,55,23,4,0,16,2,108,8,36,1,55,18,0,4,13,0,12,0,33,15,11,211,0,21,60,2,0,0,1,0,0,0,165,17,93,1,5,1,104,18,0,3,0,18,20,0,15,2,0,53,0,0,2,198,2,415,108,1,31,0,1,0,796
3,13045,11,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,4752,1,5,7,1,2,11,3,0,21,0,3,0,0,5,0,0,15,0,1,19,20,23,7,0,0,0,103,11,59,1,46,21,0,0,11,0,5,0,31,6,11,11,0,35,8,0,0,1,1,0,1,0,293,18,112,1,1,0,14,12,6,2,0,9,7,0,6,0,0,48,0,2,11,165,0,320,92,0,33,0,0,0,1046
4,13615,8,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,2793,7,5,7,1,9,50,5,0,14,0,0,1,0,6,0,0,26,0,0,7,21,16,4,1,0,0,140,4,75,1,40,23,0,1,1,0,3,0,1,4,12,58,0,73,95,9,0,2,3,1,0,0,152,9,116,0,2,3,83,26,3,0,0,3,10,0,10,0,0,21,0,8,14,198,1,444,75,0,18,0,0,0,3004
5,10169,5,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,985,3,13,4,0,4,15,5,0,8,0,0,1,1,3,0,0,122,0,0,2,69,24,0,0,6,0,66,4,59,0,32,31,0,7,7,0,12,1,45,5,10,186,1,62,2,6,0,5,1,0,0,0,193,24,86,0,5,1,40,8,1,2,0,0,5,0,7,0,0,7,0,1,3,99,0,235,42,0,47,0,3,0,3124
6,14738,5,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,3696,15,7,5,0,1,33,9,0,30,0,0,1,1,8,0,0,11,0,0,5,2,28,7,0,0,0,110,6,82,0,89,37,0,8,42,0,49,0,112,11,16,110,0,30,29,0,0,2,5,2,0,0,338,16,95,0,1,0,3,31,9,1,0,0,8,0,10,1,0,8,0,3,13,140,5,367,35,0,19,0,3,0,2354
7,10711,22,0,0,0,0,0,1,0,0,0,0,0,0,0,241,0,2256,4,0,2,3,2,11,2,0,2,2,0,0,0,4,0,0,2,0,0,6,4,35,5,1,2,0,53,11,31,0,44,23,0,13,44,0,20,0,118,7,1,13,0,19,16,3,0,2,0,0,0,1,228,20,52,0,3,0,59,0,0,0,0,0,5,1,6,0,0,9,0,2,3,121,3,205,38,3,21,0,1,0,1991
8,17155,8,13,20,14,25,5,211,31,23,9,20,89,3,4,441,0,2089,7,14,7,0,24,75,10,0,52,0,0,1,0,3,0,1,2,0,0,1,2,12,13,3,2,0,245,7,99,4,56,26,0,29,10,0,21,0,95,29,15,399,1,114,100,6,0,0,2,0,0,0,168,8,99,0,1,0,43,46,6,0,0,0,19,0,20,15,0,41,0,7,17,245,3,681,91,1,10,1,0,0,3328
9,11266,11,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,1957,25,10,4,3,8,51,3,0,52,0,2,0,0,4,0,0,43,0,0,6,26,23,9,2,0,0,213,8,100,0,44,21,0,7,59,0,34,0,145,23,5,188,0,30,62,18,0,0,2,0,0,0,161,13,72,0,0,0,2,19,0,0,0,0,24,0,9,0,0,17,0,2,19,120,1,446,86,3,16,0,0,1,1450
10,10479,7,0,0,0,0,0,0,0,0,1,0,0,0,0,411,1,2618,5,5,6,1,3,22,7,0,19,0,0,0,2,6,0,0,11,0,0,2,6,26,5,4,0,0,115,7,70,0,23,14,0,0,6,0,6,1,18,18,2,37,0,18,89,14,0,4,3,0,0,0,116,21,57,0,0,0,163,0,0,12,0,0,11,0,20,1,0,39,0,2,19,123,3,213,84,10,27,0,0,0,837
11,13572,25,0,0,0,0,0,1,0,0,0,0,0,0,0,751,0,3131,5,6,1,0,1,12,6,1,3,0,0,0,3,2,0,0,12,0,0,17,22,25,3,0,0,0,106,14,38,0,93,35,0,12,32,0,13,0,59,4,2,19,0,17,1,6,0,1,2,3,0,0,237,47,50,0,3,0,14,4,1,3,0,0,15,0,7,0,0,6,0,2,11,199,1,242,84,0,108,0,1,0,933
12,16067,6,0,0,0,0,0,1,0,0,0,0,0,0,0,236,2,2543,9,20,9,2,11,39,4,0,268,0,0,0,2,14,0,0,188,2,0,12,81,27,5,3,11,4,399,34,117,0,62,17,0,9,36,0,9,0,99,19,8,175,0,27,145,14,1,4,3,0,0,0,152,59,245,0,5,0,257,68,0,12,1,1,17,0,27,1,0,12,0,0,6,344,1,663,79,1,20,0,0,0,958
14,9826,8,0,0,0,0,0,0,0,0,0,0,0,0,0,198,1,1426,10,35,4,0,6,27,6,0,134,0,0,5,0,9,0,1,35,0,0,8,5,22,2,2,1,0,177,7,81,0,46,16,0,3,26,0,27,0,49,3,6,478,0,15,90,4,0,2,0,1,0,0,65,10,88,0,1,0,9,11,0,0,0,0,15,0,24,13,0,12,0,3,1,206,1,310,79,1,16,0,0,0,695
15,8716,2,0,0,0,0,0,0,0,0,0,0,0,0,0,371,1,2485,2,0,2,0,8,12,3,0,6,0,0,0,0,4,0,0,5,0,0,6,4,17,3,1,0,0,59,4,56,0,43,19,0,6,15,0,10,0,34,1,5,14,1,21,21,9,0,1,2,1,0,0,139,8,32,0,0,0,63,1,0,0,0,0,0,0,13,0,0,79,1,0,2,57,2,160,29,0,16,0,0,0,896
16,8985,0,42,79,41,75,55,121,120,88,7,59,253,11,18,152,0,1048,0,10,2,0,10,46,6,0,56,0,0,1,0,2,0,4,1,0,0,4,0,11,0,0,4,0,172,0,49,0,25,7,0,13,18,0,22,0,56,3,4,39,0,61,65,4,0,2,0,1,0,0,47,54,106,0,3,0,70,35,0,0,0,0,10,0,17,2,0,13,0,5,2,145,0,269,51,3,10,1,0,0,1737
17,7903,3,0,0,0,0,0,1,0,0,0,0,0,0,0,173,3,1455,11,12,8,0,15,39,4,0,46,0,0,0,3,10,0,3,1,0,0,2,1,19,10,0,4,2,182,8,76,0,26,6,0,16,14,1,12,1,79,10,4,345,0,26,104,7,0,2,0,3,0,0,61,16,167,0,0,0,5,10,0,0,0,0,5,0,12,0,0,33,0,2,1,115,0,287,68,1,11,2,1,0,749
18,13457,5,0,0,0,1,0,0,0,0,0,0,0,0,0,96,3,1596,4,60,13,0,14,52,3,0,511,0,4,14,4,3,34,0,38,1,0,10,23,23,0,0,18,4,307,7,156,0,50,10,0,3,68,0,28,1,122,3,2,893,0,10,163,4,0,2,1,0,0,0,69,19,206,0,4,0,232,471,0,1,0,35,3,0,20,10,0,10,2,2,0,336,0,738,99,0,15,0,0,0,463
19,13993,2,0,1,0,1,0,1,0,0,0,0,0,0,0,210,0,2493,13,63,13,1,0,47,3,0,489,0,8,5,3,2,0,0,26,0,0,17,7,17,5,0,8,0,215,16,136,1,46,23,0,9,30,0,37,0,86,9,6,571,0,23,167,1,0,2,0,1,0,0,89,20,267,0,2,0,179,21,0,3,0,36,29,0,34,9,0,57,0,5,4,317,2,458,154,0,22,1,0,0,722
20,5637,2,1,0,1,0,1,1,0,1,0,0,1,0,0,120,0,1336,3,14,3,0,7,39,1,0,32,0,0,0,0,7,0,2,11,0,0,11,3,23,1,0,1,0,76,9,71,0,28,6,0,4,6,0,5,0,27,2,5,36,0,11,115,2,0,0,0,0,0,0,39,10,149,0,2,0,66,29,1,0,0,9,9,0,10,5,0,78,0,0,1,170,0,189,75,0,8,1,0,0,329
22,7911,5,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,476,0,5,2,0,11,37,8,0,16,0,0,0,0,3,0,5,1,0,0,1,1,26,3,0,1,1,101,1,85,1,18,15,0,0,0,0,0,0,0,8,5,54,0,92,89,1,0,1,0,0,0,0,136,6,86,0,1,0,6,26,1,0,0,0,17,0,24,0,0,59,0,5,3,61,0,178,43,0,11,0,0,0,2473
24,8742,1,0,1,0,0,0,1,0,0,0,0,0,0,0,229,0,2362,2,18,3,1,2,57,7,0,40,0,0,0,0,0,0,1,6,0,0,5,4,14,5,1,9,8,99,5,64,1,25,11,0,8,29,0,42,1,113,20,2,201,0,27,67,3,0,0,1,0,0,0,77,6,199,0,0,0,9,12,0,0,0,2,22,0,10,1,0,82,0,3,2,156,0,248,91,1,4,0,0,0,578
25,13137,5,1,0,0,0,0,0,0,0,0,0,0,0,0,372,0,2306,13,31,6,0,16,54,19,0,47,0,0,1,0,6,1,0,4,0,0,4,2,26,10,2,0,0,273,8,104,0,42,11,0,1,1,0,0,0,2,20,8,304,0,25,224,8,0,2,4,0,0,0,155,2,116,0,1,0,3,4,1,2,0,0,4,0,19,1,0,14,0,1,1,171,0,442,52,3,28,0,0,0,1835
31,13,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
